,version,image_path,height,width
0,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0001_frame0_jpg_Machaerium_opacum_1.png,2159,3462
1,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0002_frame70_jpg_Eugenia_dysenterica_1.png,2098,1963
2,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0003_frame20_jpg_Citrus_1.png,456,416
3,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0003_frame20_jpg_Citrus_3.png,363,650
4,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0003_frame20_jpg_Eugenia_dysenterica_2.png,916,954
5,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0004_frame120_jpg_Terminalia_argentea_1.png,2149,2318
6,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0005_frame150_jpg_Astronium_fraxinifolium_1.png,2095,2709
7,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0005_frame150_jpg_Terminalia_argentea_2.png,478,2144
8,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0009_frame260_jpg_Jacaranda_2.png,2144,2057
9,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0009_frame260_jpg_Musa_1.png,1196,1244
10,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0463_BANANEIRA_EDITADO_frame0_png_Musa_1.png,1990,2227
11,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0463_BANANEIRA_EDITADO_frame0_png_Terminalia_argentea_2.png,399,1072
12,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0463_BANANEIRA_EDITADO_frame100_png_Musa_1.png,1880,2114
13,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0463_BANANEIRA_EDITADO_frame190_png_Musa_2.png,1823,2015
14,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0463_BANANEIRA_EDITADO_frame190_png_Terminalia_argentea_1.png,653,1685
15,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0464_PEQUI_EDITADO_frame0_png_Caryocar_brasiliense_1.png,1488,1602
16,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0464_PEQUI_EDITADO_frame30_png_Caryocar_brasiliense_1.png,1503,1513
17,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0465_EDITADO_frame40_png_Astronium_fraxinifolium_3.png,1167,1178
18,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0465_EDITADO_frame40_png_Musa_1.png,86,123
19,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0465_EDITADO_frame40_png_Musa_4.png,1373,426
20,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0465_EDITADO_frame40_png_Terminalia_argentea_2.png,570,833
21,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0465_EDITADO_frame80_png_Astronium_fraxinifolium_3.png,1107,1186
22,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0465_EDITADO_frame80_png_Musa_1.png,64,94
23,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0465_EDITADO_frame80_png_Musa_4.png,1374,370
24,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0465_EDITADO_frame80_png_Qualea_parviflora_5.png,543,740
25,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0465_EDITADO_frame80_png_Terminalia_argentea_2.png,597,1123
26,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0466_EDITADO_frame100_png_Terminalia_argentea_1.png,1651,1525
27,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0466_EDITADO_frame100_png_Terminalia_argentea_2.png,306,1672
28,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0466_EDITADO_frame140_png_Terminalia_argentea_1.png,1210,1540
29,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0466_EDITADO_frame140_png_Terminalia_argentea_2.png,959,1783
30,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0466_EDITADO_frame320_png_Terminalia_argentea_1.png,1204,2058
31,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0466_EDITADO_frame430_png_Terminalia_argentea_1.png,1991,2078
32,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame0_png_Terminalia_argentea_1.png,2086,2179
33,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame140_png_Terminalia_argentea_1.png,359,1406
34,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame240_png_Terminalia_argentea_1.png,1904,1510
35,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame240_png_Terminalia_argentea_2.png,182,1136
36,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame240_png_Terminalia_argentea_3.png,131,285
37,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame440_png_Astronium_fraxinifolium_1.png,1902,2428
38,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame540_png_Musa_1.png,1011,314
39,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame540_png_Terminalia_argentea_2.png,1473,1222
40,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame540_png_Terminalia_argentea_3.png,443,1637
41,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame640_png_Musa_1.png,456,482
42,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame640_png_Terminalia_argentea_2.png,571,1215
43,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame640_png_Terminalia_argentea_3.png,631,776
44,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0467_EDITADO_frame640_png_Terminalia_argentea_4.png,1650,1747
45,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0468_EDITADO_frame0_png_Caryocar_brasiliense_1.png,2001,1943
46,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0468_EDITADO_frame100_png_Caryocar_brasiliense_1.png,1533,1005
47,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0468_EDITADO_frame100_png_Caryocar_brasiliense_2.png,1412,1443
48,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0468_EDITADO_frame100_png_Caryocar_brasiliense_3.png,541,1473
49,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0468_EDITADO_frame190_png_Caryocar_brasiliense_1.png,1432,1455
50,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0468_EDITADO_frame190_png_Caryocar_brasiliense_2.png,505,1704
51,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0468_EDITADO_frame190_png_Caryocar_brasiliense_3.png,1546,977
52,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame100_png_Angico_5.png,2159,1374
53,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame100_png_Cedrela_fissilis_3.png,783,1256
54,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame100_png_Ceiba_speciosa_1.png,891,1225
55,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame100_png_Dipteryx_alata_4.png,262,452
56,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame100_png_Sterculia_2.png,1208,1712
57,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame200_png_Angico_1.png,1014,684
58,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame200_png_Angico_2.png,1117,1134
59,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame200_png_Angico_3.png,1288,1449
60,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame200_png_Ceiba_speciosa_5.png,1128,1378
61,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame200_png_Sterculia_4.png,974,942
62,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame200_png_Sterculia_6.png,359,1195
63,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame300_png_Angico_1.png,1135,916
64,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame300_png_Angico_2.png,1127,1437
65,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame300_png_Angico_7.png,1284,1995
66,_separated,../data/Cerrado_trees.v1i.coco/_separated\DJI_0469_EDITADO_frame300_png_Cedrela_fissilis_4.png,673,897
