epoch,step,train_loss,val_loss
0,9,,0.21450290083885193
0,9,0.2202250361442566,
1,19,,0.204610213637352
1,19,0.19008895754814148,
2,29,,0.18625466525554657
2,29,0.17091114819049835,
3,39,,0.1612074375152588
3,39,0.15582580864429474,
4,49,,0.1421017348766327
4,49,0.14257878065109253,
5,59,,0.1288144588470459
5,59,0.13176420331001282,
6,69,,0.12023398280143738
6,69,0.12326250970363617,
7,79,,0.11064793914556503
7,79,0.11469431966543198,
8,89,,0.10326080769300461
8,89,0.10817750543355942,
9,99,,0.09799972921609879
9,99,0.10220517963171005,
10,109,,0.09319119155406952
10,109,0.09709108620882034,
11,119,,0.08649584650993347
11,119,0.09211226552724838,
12,129,,0.08365944772958755
12,129,0.08811132609844208,
13,139,,0.0805797129869461
13,139,0.08406367897987366,
14,149,,0.07647670060396194
14,149,0.0801074281334877,
15,159,,0.07344827055931091
15,159,0.07679257541894913,
16,169,,0.06791070848703384
16,169,0.07395059615373611,
17,179,,0.06484995782375336
17,179,0.07121887803077698,
18,189,,0.06444738060235977
18,189,0.06798167526721954,
19,199,,0.06208363547921181
19,199,0.06507579237222672,
