,n_components,umap_n_neighbors,umap_min_dist,umap_metric,min_cluster_size,min_samples,cluster_selection_epsilon,cluster_selection_method,hdbscan_metric,ARI,NMI,Homogeneity,Completeness,V-measure,FMI
0,10,10,0.0,euclidean,5,,0.0,eom,euclidean,0.03985397186245281,0.19854141058936925,0.1707630435543126,0.23711306952001446,0.19854141058936925,0.17189712944884525
1,10,10,0.0,euclidean,5,,0.0,eom,cosine,0.0264412651006664,0.2610313932839326,0.24331183806495538,0.2815345777405531,0.2610313932839326,0.1432172919369645
2,10,10,0.0,euclidean,5,,0.0,leaf,euclidean,0.011542843311953061,0.2487466838674604,0.23101317411423386,0.2694291608286949,0.24874668386746038,0.14066197902826455
3,10,10,0.0,euclidean,5,,0.0,leaf,cosine,0.010887641031600621,0.23976637338934986,0.2162858954749841,0.2689659109656536,0.23976637338934986,0.15068456264811372
4,10,10,0.0,euclidean,5,,0.1,eom,euclidean,0.01397024102045278,0.08252826857883536,0.04786529628783511,0.29920792949748987,0.08252826857883536,0.30069584872892013
5,10,10,0.0,euclidean,5,,0.1,eom,cosine,0.012303255919017497,0.08988532038907733,0.054738281918447054,0.2511411805428588,0.08988532038907733,0.2832679097521734
6,10,10,0.0,euclidean,5,,0.1,leaf,euclidean,0.03511973895249156,0.27099647441162944,0.24895068735668416,0.29732614186074585,0.2709964744116294,0.154882230517089
7,10,10,0.0,euclidean,5,,0.1,leaf,cosine,0.011989048320685435,0.08075622427870545,0.0468971182925229,0.2904763482248162,0.08075622427870545,0.29663928437696335
8,10,10,0.0,euclidean,5,5.0,0.0,eom,euclidean,0.032896386002917125,0.18331302310022754,0.1530160871888835,0.2285693898104397,0.18331302310022754,0.17143304406108464
9,10,10,0.0,euclidean,5,5.0,0.0,eom,cosine,0.030384977531449277,0.23261576916984766,0.21396341259712626,0.2548307546361681,0.23261576916984766,0.14094828912411841
10,10,10,0.0,euclidean,5,5.0,0.0,leaf,euclidean,0.02108365654976629,0.24191958720669038,0.22301459189612202,0.26432661136520463,0.24191958720669035,0.1401718045033698
11,10,10,0.0,euclidean,5,5.0,0.0,leaf,cosine,0.019511435186775682,0.241487233813626,0.22326184011217462,0.2629526853817409,0.24148723381362597,0.14126010538116288
12,10,10,0.0,euclidean,5,5.0,0.1,eom,euclidean,0.013565845987748492,0.11389349735034342,0.08116075033271766,0.1908747226853062,0.11389349735034339,0.21477116004553404
13,10,10,0.0,euclidean,5,5.0,0.1,eom,cosine,0.007519953837700436,0.07609934875497622,0.04471659239891399,0.2552081448401612,0.07609934875497622,0.28880668166327544
14,10,10,0.0,euclidean,5,5.0,0.1,leaf,euclidean,0.01636477665592777,0.22766647307957513,0.20184897970251559,0.2610569635174238,0.2276664730795751,0.15678440436867452
15,10,10,0.0,euclidean,5,5.0,0.1,leaf,cosine,0.011924312287734782,0.07460512844156517,0.04261400954949021,0.2992804650239491,0.07460512844156517,0.30154107219624043
16,10,10,0.0,euclidean,10,,0.0,eom,euclidean,0.016897222744482236,0.11825158081189756,0.08485918806333329,0.1949748973786149,0.11825158081189754,0.21625845452649023
17,10,10,0.0,euclidean,10,,0.0,eom,cosine,0.012145888089681159,0.12155929973840615,0.08818944060889476,0.19555506181255125,0.12155929973840617,0.2069810324900439
18,10,10,0.0,euclidean,10,,0.0,leaf,euclidean,0.022521514322878654,0.19804127535749416,0.1590638864508894,0.26232104008560153,0.19804127535749416,0.1900148454897285
19,10,10,0.0,euclidean,10,,0.0,leaf,cosine,0.02135040704546035,0.14661804034044185,0.10606775512572937,0.23736335394156122,0.14661804034044185,0.21849085501908325
20,10,10,0.0,euclidean,10,,0.1,eom,euclidean,0.013861331001026517,0.10708934194882952,0.0676586988420971,0.2566781645905874,0.1070893419488295,0.2685491179886286
21,10,10,0.0,euclidean,10,,0.1,eom,cosine,0.010375398241962255,0.0897240040369599,0.054942577348688085,0.2445132281816346,0.08972400403695992,0.2779071751598661
22,10,10,0.0,euclidean,10,,0.1,leaf,euclidean,0.02357882417044621,0.16969746456323276,0.13215251607909081,0.23704178729430617,0.16969746456323276,0.19396215344323497
23,10,10,0.0,euclidean,10,,0.1,leaf,cosine,0.01554245944127073,0.10887338252989964,0.06544991934079734,0.32350887750017576,0.10887338252989963,0.2922835965109183
24,10,10,0.0,euclidean,10,5.0,0.0,eom,euclidean,0.024341536040213104,0.21203710355758038,0.18924685823796916,0.24106795743724688,0.21203710355758038,0.14651487182857664
25,10,10,0.0,euclidean,10,5.0,0.0,eom,cosine,0.0051520707740119786,0.10761379958552308,0.07709095902034732,0.1781487268345952,0.10761379958552308,0.2059924926246845
26,10,10,0.0,euclidean,10,5.0,0.0,leaf,euclidean,0.03309329034001252,0.22636214950418904,0.2025336958480224,0.2565451476234051,0.226362149504189,0.15256150986484676
27,10,10,0.0,euclidean,10,5.0,0.0,leaf,cosine,0.04543465282455239,0.20457503578977898,0.1768318361665702,0.2426434371611351,0.20457503578977895,0.17408998862312464
28,10,10,0.0,euclidean,10,5.0,0.1,eom,euclidean,0.015948572447067797,0.1390608145102354,0.11081170720519176,0.1866410006450879,0.1390608145102354,0.1698796064734729
29,10,10,0.0,euclidean,10,5.0,0.1,eom,cosine,0.006651113514179333,0.08108723244603347,0.04793191400452646,0.2630285329183174,0.08108723244603347,0.28598434191615874
30,10,10,0.0,euclidean,10,5.0,0.1,leaf,euclidean,0.02659690788987826,0.21167475682536352,0.19089824279799722,0.2375260315931564,0.21167475682536352,0.14167200252655515
31,10,10,0.0,euclidean,10,5.0,0.1,leaf,cosine,0.011457669747256798,0.08224255858751603,0.048115607631043694,0.28288282224864164,0.08224255858751603,0.2955466499918525
32,10,10,0.0,euclidean,20,,0.0,eom,euclidean,0.014153993524413086,0.10668270234898954,0.0756281814504762,0.181008664555849,0.10668270234898954,0.2046564873277284
33,10,10,0.0,euclidean,20,,0.0,eom,cosine,0.02915608943900767,0.14354895920765637,0.09865564094070889,0.2634170897514946,0.1435489592076564,0.2426806565592937
34,10,10,0.0,euclidean,20,,0.0,leaf,euclidean,0.02342155353462819,0.11510462923968655,0.08118107361592374,0.19773186948562638,0.11510462923968656,0.21764596026621352
35,10,10,0.0,euclidean,20,,0.0,leaf,cosine,0.02194941591470056,0.11926626775278806,0.08434164643380394,0.20355562405694838,0.11926626775278805,0.21398289159139275
36,10,10,0.0,euclidean,20,,0.1,eom,euclidean,0.02344754882721168,0.1224761337912246,0.08705093531645709,0.20651835020125028,0.12247613379122459,0.2130873651091403
37,10,10,0.0,euclidean,20,,0.1,eom,cosine,0.012327110620246867,0.09960007787264424,0.06991482104765456,0.1730946321530177,0.09960007787264423,0.20783578111981366
38,10,10,0.0,euclidean,20,,0.1,leaf,euclidean,0.017348594752270227,0.10690279738478506,0.07625132059750565,0.1787611271231894,0.10690279738478507,0.20445038580560346
39,10,10,0.0,euclidean,20,,0.1,leaf,cosine,0.023952643454754643,0.1250291013063181,0.08694350955454108,0.22249144770976248,0.1250291013063181,0.22939852462143162
40,10,10,0.0,euclidean,20,5.0,0.0,eom,euclidean,0.030936292049832583,0.14086683260460203,0.10858922129062563,0.20044944226561712,0.140866832604602,0.1907663887122733
41,10,10,0.0,euclidean,20,5.0,0.0,eom,cosine,0.009944833771584038,0.085379156629415,0.05934630949704386,0.15209880613607682,0.08537915662941499,0.21283162818367754
42,10,10,0.0,euclidean,20,5.0,0.0,leaf,euclidean,0.01608517340782787,0.11566925369966237,0.08821780414755154,0.1679233127724249,0.11566925369966238,0.18350065550226344
43,10,10,0.0,euclidean,20,5.0,0.0,leaf,cosine,0.005731379637259523,0.09919168315841546,0.07377760731033405,0.15131494386890237,0.09919168315841545,0.18277511417498254
44,10,10,0.0,euclidean,20,5.0,0.1,eom,euclidean,0.025386933930926937,0.13136193275691221,0.10194169445977416,0.1846523597474298,0.13136193275691221,0.1817248087507444
45,10,10,0.0,euclidean,20,5.0,0.1,eom,cosine,0.0022275010068962117,0.06812340593942721,0.04505641312802523,0.1395851403765583,0.0681234059394272,0.21972421115131727
46,10,10,0.0,euclidean,20,5.0,0.1,leaf,euclidean,0.023636031189762065,0.13077962480887492,0.10153182127201622,0.18369611856339474,0.13077962480887492,0.17976389559843337
