epoch,lr-Adam,step,train/loss_epoch,train/loss_step,val/loss,val/mAP
,0.0001,9,,,,
0,,9,,4.0517869,,
,0.0001,19,,,,
0,,19,,2.406739712,,
,0.0001,29,,,,
0,,29,,1.46148169,,
,0.0001,39,,,,
0,,39,,1.758995295,,
,0.0001,49,,,,
0,,49,,1.639510274,,
,0.0001,59,,,,
0,,59,,1.465741992,,
,0.0001,69,,,,
0,,69,,1.769673347,,
,0.0001,79,,,,
0,,79,,2.083722115,,
,0.0001,89,,,,
0,,89,,2.040086269,,
,0.0001,99,,,,
0,,99,,2.001384735,,
,0.0001,109,,,,
0,,109,,1.227277398,,
,0.0001,119,,,,
0,,119,,1.620860696,,
,0.0001,129,,,,
0,,129,,1.252538323,,
,0.0001,139,,,,
0,,139,,1.35701108,,
,0.0001,149,,,,
0,,149,,1.162675619,,
,0.0001,159,,,,
0,,159,,1.73628211,,
,0.0001,169,,,,
0,,169,,1.472374439,,
,0.0001,179,,,,
0,,179,,1.396741033,,
,0.0001,189,,,,
0,,189,,1.484079838,,
,0.0001,199,,,,
0,,199,,1.692920208,,
,0.0001,209,,,,
0,,209,,1.26145184,,
,0.0001,219,,,,
0,,219,,1.510315418,,
,0.0001,229,,,,
0,,229,,1.712747455,,
,0.0001,239,,,,
0,,239,,1.879250526,,
,0.0001,249,,,,
0,,249,,1.219474435,,
,0.0001,259,,,,
0,,259,,1.606565475,,
,0.0001,269,,,,
0,,269,,1.695610404,,
,0.0001,279,,,,
0,,279,,1.459881067,,
,0.0001,289,,,,
0,,289,,1.391107798,,
,0.0001,299,,,,
0,,299,,1.759499669,,
,0.0001,309,,,,
0,,309,,1.709599733,,
,0.0001,319,,,,
0,,319,,1.229058862,,
,0.0001,329,,,,
0,,329,,1.285820603,,
,0.0001,339,,,,
0,,339,,1.137902379,,
,0.0001,349,,,,
0,,349,,1.39624989,,
,0.0001,359,,,,
0,,359,,1.517473817,,
0,,360,,,0,0.020867437
0,,360,1.747055411,,,
,0.0001,369,,,,
1,,369,,1.461984038,,
,0.0001,379,,,,
1,,379,,1.328969836,,
,0.0001,389,,,,
1,,389,,1.256209016,,
,0.0001,399,,,,
1,,399,,1.74607861,,
,0.0001,409,,,,
1,,409,,1.341915131,,
,0.0001,419,,,,
1,,419,,1.562746763,,
,0.0001,429,,,,
1,,429,,1.364586353,,
,0.0001,439,,,,
1,,439,,1.087027073,,
,0.0001,449,,,,
1,,449,,1.32675302,,
,0.0001,459,,,,
1,,459,,1.461169124,,
,0.0001,469,,,,
1,,469,,1.300076604,,
,0.0001,479,,,,
1,,479,,1.672703505,,
,0.0001,489,,,,
1,,489,,1.656401038,,
,0.0001,499,,,,
1,,499,,1.231067896,,
,0.0001,509,,,,
1,,509,,1.234089017,,
,0.0001,519,,,,
1,,519,,0.969558597,,
,0.0001,529,,,,
1,,529,,0.950569272,,
,0.0001,539,,,,
1,,539,,1.363886356,,
,0.0001,549,,,,
1,,549,,0.944802046,,
,0.0001,559,,,,
1,,559,,1.218469977,,
,0.0001,569,,,,
1,,569,,1.110721827,,
,0.0001,579,,,,
1,,579,,1.560696006,,
,0.0001,589,,,,
1,,589,,1.483097553,,
